year,rotation,site_id,nrate_kgha,leaching_kgha
2015,cs,hugg,224,50.6
2015,cs,hugg,250,56.5
2015,cs,hugg,300,72.4
2015,cs,klad,0,3.6
2015,cs,klad,56,6.3
2015,cs,klad,112,16.3
2015,cs,klad,168,26.4
2015,cs,klad,224,36.6
2015,cs,klad,250,40.6
2015,cs,klad,300,50.2
2015,cs,masa,0,1.8
2015,cs,masa,56,1.8
2015,cs,masa,112,6.2
2015,cs,masa,168,15.9
2015,cs,masa,224,25.7
2015,cs,masa,250,30.2
2015,cs,masa,300,38.1
2015,cs,rand,0,1
2015,cs,rand,56,1.2
2015,cs,rand,112,2.6
2015,cs,rand,168,7.1
2015,cs,rand,224,11.6
2015,cs,rand,250,13.9
2015,cs,rand,300,17.2
2015,cs,suth,0,1.5
2015,cs,suth,56,1.8
2015,cs,suth,112,2.1
2015,cs,suth,168,7.4
2015,cs,suth,224,17.7
2015,cs,suth,250,22.2
2015,cs,suth,300,30.5
2016,cc,gent,0,6
2016,cc,gent,56,10.5
2016,cc,gent,112,17
2016,cc,gent,168,49
2016,cc,gent,224,86.8
2016,cc,gent,250,104.3
2016,cc,gent,300,136.7
2016,cc,gilm,0,4.2
2016,cc,gilm,56,7.5
2016,cc,gilm,112,14.5
2016,cc,gilm,168,45.4
2016,cc,gilm,224,74.2
2016,cc,gilm,250,87.9
2016,cc,gilm,300,114.7
2016,cc,gold,0,1.8
2016,cc,gold,56,2.9
2016,cc,gold,112,7
2016,cc,gold,168,25.9
2016,cc,gold,224,46.8
2016,cc,gold,250,56.1
2016,cc,gold,300,73.6
2016,cc,hoff,0,5.9
2016,cc,hoff,56,11
2016,cc,hoff,112,17.3
2016,cc,hoff,168,31.4
2016,cc,hoff,224,53.6
2016,cc,hoff,250,64
2016,cc,hoff,300,84.8
2016,cc,hugg,0,7.4
2016,cc,hugg,56,11.8
2016,cc,hugg,112,18.8
2016,cc,hugg,168,73.9
2016,cc,hugg,224,144.7
2016,cc,hugg,250,173.8
2016,cc,hugg,300,237.3
2016,cc,klad,0,0.8
2016,cc,klad,56,1.5
2016,cc,klad,112,2.1
2016,cc,klad,168,5.5
2016,cc,klad,224,9
2016,cc,klad,250,10.9
2016,cc,klad,300,14.3
2016,cc,masa,0,1
2016,cc,masa,56,2.8
2016,cc,masa,112,5.4
2016,cc,masa,168,37.7
2016,cc,masa,224,76.9
2016,cc,masa,250,95
2016,cc,masa,300,129.9
2016,cc,rand,0,2
2016,cc,rand,56,3.6
2016,cc,rand,112,5.2
2016,cc,rand,168,18.4
2016,cc,rand,224,52.7
2016,cc,rand,250,68.8
2016,cc,rand,300,97.4
2016,cc,suth,0,1.2
2016,cc,suth,56,1.8
2016,cc,suth,112,2.6
2016,cc,suth,168,3.3
2016,cc,suth,224,19.2
2016,cc,suth,250,28.2
2016,cc,suth,300,45.3
2016,cs,gent,0,9.1
2016,cs,gent,56,11.3
2016,cs,gent,112,27
2016,cs,gent,168,41.6
2016,cs,gent,224,57.6
2016,cs,gent,250,65.1
2016,cs,gent,300,78.8
2016,cs,gilm,0,5.9
2016,cs,gilm,56,6.7
2016,cs,gilm,112,16.2
2016,cs,gilm,168,28.9
2016,cs,gilm,224,42.1
2016,cs,gilm,250,48.9
2016,cs,gilm,300,62.2
2016,cs,gold,0,1.8
2016,cs,gold,56,2.6
2016,cs,gold,112,4.6
2016,cs,gold,168,7.9
2016,cs,gold,224,12.9
2016,cs,gold,250,15.8
2016,cs,gold,300,21.3
2016,cs,hoff,0,8.5
2016,cs,hoff,56,7.6
2016,cs,hoff,112,11.1
2016,cs,hoff,168,15.4
2016,cs,hoff,224,19.9
2016,cs,hoff,250,22.1
2016,cs,hoff,300,26.5
2016,cs,hugg,0,12.1
2016,cs,hugg,56,13.6
2016,cs,hugg,112,19.2
2016,cs,hugg,168,55.8
2016,cs,hugg,224,89.5
2016,cs,hugg,250,103.3
2016,cs,hugg,300,136.1
2016,cs,klad,0,0.3
2016,cs,klad,56,0.4
2016,cs,klad,112,0.7
2016,cs,klad,168,1
2016,cs,klad,224,1.4
2016,cs,klad,250,1.5
